"qb"	"year"	"game.num"	"opponent"	"pass.atts"	"comps"	"pass.yds"	"pass.tds"	"ints"	"carries"	"rush.yds"	"rush.tds"	"cum.pass.atts"	"cum.comps"	"cum.pass.yds"	"cum.pass.tds"	"cum.ints"	"cum.carries"	"cum.rush.yds"	"cum.rush.tds"
"Jason Fife"	2002	1	"Mississippi State"	27	14	166	3	0	6	25	1	27	14	166	3	0	6	25	1
"Kellen Clemens"	2002	1	"Mississippi State"	1	0	0	0	0	1	-10	0	1	0	0	0	0	1	-10	0
"Jason Fife"	2002	2	"Fresno State"	34	19	303	1	1	11	-16	0	61	33	469	4	1	17	9	1
"Jason Fife"	2002	3	"Idaho"	22	10	232	2	0	1	1	0	83	43	701	6	1	18	10	1
"Scott Vossmeyer"	2002	1	"Idaho"	2	1	6	0	0	0	0	0	2	1	6	0	0	0	0	0
"Kellen Clemens"	2002	2	"Idaho"	1	0	0	0	0	1	-6	0	2	0	0	0	0	2	-16	0
"Jason Fife"	2002	4	"Portland State"	20	13	179	2	0	6	12	0	103	56	880	8	1	24	22	1
"Kellen Clemens"	2002	3	"Portland State"	4	4	40	1	0	0	0	0	6	4	40	1	0	2	-16	0
"Jason Fife"	2002	5	"Arizona"	26	18	244	2	0	8	23	0	129	74	1124	10	1	32	45	1
"Keenan Howry"	2002	1	"Arizona"	1	0	0	0	0	2	2	0	1	0	0	0	0	2	2	0
"Jason Fife"	2002	6	"UCLA"	18	14	202	2	0	10	-7	0	147	88	1326	12	1	42	38	1
"Jason Fife"	2002	7	"Arizona State"	32	21	288	3	1	1	-1	0	179	109	1614	15	2	43	37	1
"Jason Fife"	2002	8	"Southern California (15)"	45	20	336	2	2	6	-5	0	224	129	1950	17	4	49	32	1
"Jason Fife"	2002	9	"Stanford"	36	20	254	3	1	6	0	1	260	149	2204	20	5	55	32	2
"Jason Fife"	2002	10	"Washington State (5)"	35	16	192	1	1	4	-7	0	295	165	2396	21	6	59	25	2
"Jason Fife"	2002	11	"Washington"	29	10	170	2	1	7	21	0	324	175	2566	23	7	66	46	2
"Kellen Clemens"	2002	4	"Washington"	3	0	0	0	1	1	11	0	9	4	40	1	1	3	-5	0
"Keenan Howry"	2002	2	"Washington"	1	0	0	0	0	2	22	0	2	0	0	0	0	4	24	0
"Jason Fife"	2002	12	"Oregon State"	33	14	182	1	3	7	18	1	357	189	2748	24	10	73	64	3
"Kellen Clemens"	2002	5	"Wake Forest"	31	19	161	1	0	5	14	0	40	23	201	2	1	8	9	0
"Jason Fife"	2002	13	"Wake Forest"	10	1	4	0	0	3	3	0	367	190	2752	24	10	76	67	3
"Kellen Clemens"	2003	6	"Mississippi State"	21	14	247	3	0	2	-7	0	61	37	448	5	1	10	2	0
"Jason Fife"	2003	14	"Mississippi State"	8	8	111	1	0	3	-3	1	375	198	2863	25	10	79	64	4
"Kellen Clemens"	2003	7	"Nevada"	24	10	154	2	0	9	11	0	85	47	602	7	1	19	13	0
"Jason Fife"	2003	15	"Nevada"	4	3	57	1	0	4	11	0	379	201	2920	26	10	83	75	4
"Kellen Clemens"	2003	8	"Arizona"	17	11	168	2	0	1	2	0	102	58	770	9	1	20	15	0
"Jason Fife"	2003	16	"Arizona"	15	11	115	2	0	6	30	1	394	212	3035	28	10	89	105	5
"Kellen Clemens"	2003	9	"Michigan (3)"	23	15	160	0	0	5	26	0	125	73	930	9	1	25	41	0
"Jason Fife"	2003	17	"Michigan (3)"	8	5	93	0	0	3	10	1	402	217	3128	28	10	92	115	6
"Kellen Clemens"	2003	10	"Washington State (21)"	34	16	232	1	4	10	15	0	159	89	1162	10	5	35	56	0
"Jason Fife"	2003	18	"Washington State (21)"	24	8	128	0	3	1	0	0	426	225	3256	28	13	93	115	6
"Kellen Clemens"	2003	11	"Utah"	24	12	246	0	0	9	3	1	183	101	1408	10	5	44	59	1
"Jason Fife"	2003	19	"Utah"	9	3	22	0	1	3	26	0	435	228	3278	28	14	96	141	6
"Paul Martinez"	2003	1	"Utah"	1	1	9	0	0	0	0	0	1	1	9	0	0	0	0	0
"Jason Fife"	2003	20	"Arizona State"	19	7	101	1	0	8	66	1	454	235	3379	29	14	104	207	7
"Kellen Clemens"	2003	12	"Arizona State"	7	2	26	0	2	1	7	0	190	103	1434	10	7	45	66	1
"Kellen Clemens"	2003	13	"Stanford"	17	15	149	0	0	4	-19	0	207	118	1583	10	7	49	47	1
"Jason Fife"	2003	21	"Stanford"	10	8	116	0	0	2	13	1	464	243	3495	29	14	106	220	8
"Kellen Clemens"	2003	14	"Washington"	24	14	230	1	1	6	-15	0	231	132	1813	11	8	55	32	1
"Jason Fife"	2003	22	"Washington"	5	2	16	0	0	6	42	0	469	245	3511	29	14	112	262	8
"Kellen Clemens"	2003	15	"California"	18	9	117	1	0	3	-3	0	249	141	1930	12	8	58	29	1
"Jason Fife"	2003	23	"California"	16	8	107	1	0	5	35	0	485	253	3618	30	14	117	297	8
"Kellen Clemens"	2003	16	"UCLA"	27	21	183	2	0	5	10	0	276	162	2113	14	8	63	39	1
"Jason Fife"	2003	24	"UCLA"	1	0	0	0	0	1	-5	0	486	253	3618	30	14	118	292	8
"Kellen Clemens"	2003	17	"Oregon State"	26	11	125	3	1	12	64	1	302	173	2238	17	9	75	103	2
"Terrence Whitehead"	2003	1	"Oregon State"	1	0	0	0	0	24	77	0	1	0	0	0	0	24	77	0
"Kellen Clemens"	2003	18	"Minnesota (24)"	42	32	363	3	1	11	14	0	344	205	2601	20	10	86	117	2
"Jason Fife"	2003	25	"Minnesota (24)"	1	1	13	0	0	0	0	0	487	254	3631	30	14	118	292	8
"Kellen Clemens"	2004	19	"IND"	44	24	317	3	3	12	44	0	388	229	2918	23	13	98	161	2
"Dennis Dixon"	2004	1	"IND"	1	0	0	0	0	2	4	0	1	0	0	0	0	2	4	0
"Kellen Clemens"	2004	20	"OKLA"	35	24	179	1	0	8	7	0	423	253	3097	24	13	106	168	2
"Dennis Dixon"	2004	2	"OKLA"	2	1	2	0	0	1	4	0	3	1	2	0	0	3	8	0
"Kellen Clemens"	2004	21	"IDHO"	19	11	157	3	0	5	8	0	442	264	3254	27	13	111	176	2
"Dennis Dixon"	2004	3	"IDHO"	8	5	71	0	0	3	14	0	11	6	73	0	0	6	22	0
"Kellen Clemens"	2004	22	"ASU"	31	17	177	1	0	16	27	0	473	281	3431	28	13	127	203	2
"Kellen Clemens"	2004	23	"WSU"	55	36	437	3	0	14	36	3	528	317	3868	31	13	141	239	5
"Dennis Dixon"	2004	4	"WSU"	1	0	0	0	0	0	0	0	12	6	73	0	0	6	22	0
"Kellen Clemens"	2004	24	"ARIZ"	30	21	336	1	0	12	17	0	558	338	4204	32	13	153	256	5
"Kellen Clemens"	2004	25	"STAN"	33	22	275	0	1	5	0	0	591	360	4479	32	14	158	256	5
"Kellen Clemens"	2004	26	"WASH"	34	21	134	2	1	9	22	0	625	381	4613	34	15	167	278	5
"Garren Strong"	2004	1	"WASH"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Kellen Clemens"	2004	27	"CAL"	33	19	218	4	0	14	53	0	658	400	4831	38	15	181	331	5
"Kellen Clemens"	2004	28	"UCLA"	29	15	192	1	2	10	2	1	687	415	5023	39	17	191	333	6
"Kellen Clemens"	2004	29	"ORST"	29	13	126	3	3	13	-26	0	716	428	5149	42	20	204	307	6
"Dennis Dixon"	2004	5	"ORST"	3	0	0	0	0	4	18	0	15	6	73	0	0	10	40	0
"Kellen Clemens"	2005	30	"HOU"	47	30	348	2	0	12	72	0	763	458	5497	44	20	216	379	6
"Dennis Dixon"	2005	6	"HOU"	2	0	0	0	1	4	23	1	17	6	73	0	1	14	63	1
"Kellen Clemens"	2005	31	"MONT"	40	24	275	2	0	5	7	0	803	482	5772	46	20	221	386	6
"Dennis Dixon"	2005	7	"MONT"	1	1	39	1	0	5	16	0	18	7	112	1	1	19	79	1
"Brady Leaf"	2005	1	"MONT"	5	2	25	0	0	1	-4	0	5	2	25	0	0	1	-4	0
"Matt Dragich"	2005	1	"MONT"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
