"rb"	"year"	"game.num"	"opponent"	"carries"	"rush.yds"	"rush.tds"	"cum.carries"	"cum.rush.yds"	"cum.rush.tds"
"Onterrio Smith"	2002	1	"Mississippi State"	28	124	0	28	124	0
"Terrence Whitehead"	2002	1	"Mississippi State"	10	32	0	10	32	0
"Allan Amundson"	2002	1	"Mississippi State"	7	29	0	7	29	0
"Matt Floberg"	2002	1	"Mississippi State"	1	5	0	1	5	0
"Onterrio Smith"	2002	2	"Fresno State"	35	124	2	63	248	2
"Onterrio Smith"	2002	3	"Idaho"	18	104	3	81	352	5
"Allan Amundson"	2002	2	"Idaho"	10	60	1	17	89	1
"Kenny Washington"	2002	1	"Idaho"	3	7	1	3	7	1
"Matt Floberg"	2002	2	"Idaho"	1	0	0	2	5	0
"Onterrio Smith"	2002	4	"Portland State"	21	115	2	102	467	7
"Allan Amundson"	2002	3	"Portland State"	9	49	0	26	138	1
"Keenan Howry"	2002	1	"Portland State"	1	4	0	1	4	0
"Matt Floberg"	2002	3	"Portland State"	1	3	0	3	8	0
"Onterrio Smith"	2002	5	"Arizona"	28	145	2	130	612	9
"Allan Amundson"	2002	4	"Arizona"	3	7	0	29	145	1
"Jason Willis"	2002	1	"Arizona"	1	9	0	1	9	0
"Terrence Whitehead"	2002	2	"Arizona"	1	2	0	11	34	0
"Onterrio Smith"	2002	6	"UCLA"	25	152	0	155	764	9
"Terrence Whitehead"	2002	3	"UCLA"	2	43	1	13	77	1
"Jason Willis"	2002	2	"UCLA"	2	-1	0	3	8	0
"Onterrio Smith"	2002	7	"Arizona State"	27	172	3	182	936	12
"Terrence Whitehead"	2002	4	"Arizona State"	2	0	0	15	77	1
"Onterrio Smith"	2002	8	"Southern California (15)"	19	79	0	201	1015	12
"Terrence Whitehead"	2002	5	"Southern California (15)"	1	1	1	16	78	2
"Allan Amundson"	2002	5	"Southern California (15)"	1	1	0	30	146	1
"Terrence Whitehead"	2002	6	"Stanford"	29	132	0	45	210	2
"Ryan Shaw"	2002	1	"Stanford"	4	6	0	4	6	0
"Keenan Howry"	2002	2	"Stanford"	1	28	0	2	32	0
"Allan Amundson"	2002	6	"Stanford"	1	3	0	31	149	1
"George Wrighster"	2002	1	"Stanford"	1	1	1	1	1	1
"Onterrio Smith"	2002	9	"Washington State (5)"	25	64	0	226	1079	12
"Terrence Whitehead"	2002	7	"Washington State (5)"	4	8	0	49	218	2
"Jason Willis"	2002	3	"Washington State (5)"	1	8	0	4	16	0
